fecha_local,fecha_utc,latitud,longitud,profundidad,magnitud,region,maps_link,rango_profundidad,categoria
2025-11-04 10:43:5060 km al O de Tongoy,2025-11-04 13:43:50,-30.227,-72.115,33.0,3.1,Coquimbo,"https://www.google.com/maps?q=-30.227,-72.115",30–60 km,Leve
2025-11-04 10:18:3468 km al NO de Carrizal Bajo,2025-11-04 13:18:34,-27.535,-71.458,45.0,3.3,Atacama,"https://www.google.com/maps?q=-27.535,-71.458",30–60 km,Leve
2025-11-04 10:14:0956 km al O de Arauco,2025-11-04 13:14:09,-37.084,-73.917,35.0,4.0,Biobío,"https://www.google.com/maps?q=-37.084,-73.917",30–60 km,Moderado
2025-11-04 09:52:4842 km al NE de San Pedro de Atacama,2025-11-04 12:52:48,-22.7,-67.867,276.0,2.8,Antofagasta,"https://www.google.com/maps?q=-22.7,-67.867",200–500 km,Leve
2025-11-04 08:53:0855 km al E de Pica,2025-11-04 11:53:08,-20.325,-68.829,105.0,2.6,Tarapacá,"https://www.google.com/maps?q=-20.325,-68.829",100–200 km,Leve
2025-11-04 08:02:4431 km al O de Calama,2025-11-04 11:02:44,-22.582,-69.208,119.0,3.3,Antofagasta,"https://www.google.com/maps?q=-22.582,-69.208",100–200 km,Leve
2025-11-04 07:29:54142 km al O de TirÃºa,2025-11-04 10:29:54,-38.544,-75.106,28.0,3.1,La Araucanía,"https://www.google.com/maps?q=-38.544,-75.106",10–30 km,Leve
2025-11-04 07:11:4029 km al O de La Serena,2025-11-04 10:11:40,-29.832,-71.537,29.0,2.5,Coquimbo,"https://www.google.com/maps?q=-29.832,-71.537",10–30 km,Leve
2025-11-04 03:43:4649 km al O de Arauco,2025-11-04 06:43:46,-37.116,-73.842,20.0,2.8,Biobío,"https://www.google.com/maps?q=-37.116,-73.842",10–30 km,Leve
2025-11-04 03:02:1634 km al SO de OllagÃ¼e,2025-11-04 06:02:16,-21.428,-68.496,127.0,3.0,Antofagasta,"https://www.google.com/maps?q=-21.428,-68.496",100–200 km,Leve
2025-11-04 02:17:0941 km al SE de El Salvador,2025-11-04 05:17:09,-26.522,-69.347,130.0,2.7,Atacama,"https://www.google.com/maps?q=-26.522,-69.347",100–200 km,Leve
2025-11-03 23:56:1319 km al SO de Putre,2025-11-04 02:56:13,-18.267,-69.722,95.0,3.2,Arica y Parinacota,"https://www.google.com/maps?q=-18.267,-69.722",60–100 km,Leve
2025-11-03 23:07:5185 km al O de Arica,2025-11-04 02:07:51,-18.469,-71.125,20.0,2.6,Arica y Parinacota,"https://www.google.com/maps?q=-18.469,-71.125",10–30 km,Leve
2025-11-03 22:25:5046 km al SO de OllagÃ¼e,2025-11-04 01:25:50,-21.565,-68.511,138.0,2.5,Antofagasta,"https://www.google.com/maps?q=-21.565,-68.511",100–200 km,Leve
2025-11-03 20:42:4842 km al S de OllagÃ¼e,2025-11-03 23:42:48,-21.575,-68.397,135.0,2.7,Antofagasta,"https://www.google.com/maps?q=-21.575,-68.397",100–200 km,Leve
2025-11-03 20:30:4313 km al NE de Termas del Flaco,2025-11-03 23:30:43,-34.905,-70.313,148.0,3.1,Libertador B. O'Higgins,"https://www.google.com/maps?q=-34.905,-70.313",100–200 km,Leve
2025-11-03 19:03:5280 km al SE de Socaire,2025-11-03 22:03:52,-23.931,-67.198,254.0,3.1,Antofagasta,"https://www.google.com/maps?q=-23.931,-67.198",200–500 km,Leve
2025-11-03 19:01:2083 km al E de CopiapÃ³,2025-11-03 22:01:20,-27.515,-69.513,112.0,2.6,Atacama,"https://www.google.com/maps?q=-27.515,-69.513",100–200 km,Leve
2025-11-03 18:43:5794 km al NO de Punta de Choros,2025-11-03 21:43:57,-28.798,-72.289,34.0,2.7,Atacama,"https://www.google.com/maps?q=-28.798,-72.289",30–60 km,Leve
2025-11-03 18:22:0264 km al NE de Calama,2025-11-03 21:22:02,-22.013,-68.552,118.0,3.7,Antofagasta,"https://www.google.com/maps?q=-22.013,-68.552",100–200 km,Moderado
